gamename,avg,gain,peak,avg_peak_perc
Friday the 13th: The Game,617.22,-490.46,1962,31.4587%
<U+592A><U+543E><U+7ED8><U+5377> The Scroll Of Taiwu,1427.43,429.02,2658,53.7032%
Left 4 Dead,465.72,-142.48,753,61.8486%
Ultimate Chicken Horse,577.65,-31.64,1593,36.2618%
Feed and Grow: Fish,533.65,-56.76,896,59.5592%
Fisher Online,408.14,8.21,815,50.0785%
Sands of Salzaar,511.06,61.61,1354,37.7445%
Doki Doki Literature Club,746.79,14.62,1001,74.6044%
Clone Drone in the Danger Zone,329.67,23.57,980,33.6398%
TerraTech,546.79,-31.51,957,57.1358%
Cyber Hunter,475.72,-62,762,62.4304%
Little Nightmares,1420.07,540.76,4331,32.7885%
Sniper Ghost Warrior Contracts,504.25,-249.2,1006,50.1243%
Bloons Monkey City,511.42,73.67,728,70.25%
Soulworker,1673.35,-567.58,3651,45.8326%
Subsistence,509.3,-227.16,997,51.0832%
Gears 5,602.56,-389.39,1062,56.7382%
Quake Champions,499.5,-17.6,1019,49.0186%
Age of Wonders III,471.35,-17.18,1027,45.8958%
Stronghold Kingdoms,562.33,6.21,867,64.8593%
Baldur's Gate II: Enhanced Edition,493.58,2.33,836,59.0407%
Railway Empire,446.26,-79.75,891,50.0853%
Resident Evil 5,540.06,-20.77,951,56.7886%
Imperator: Rome,2219.23,1672.62,7031,31.5635%
Football Manager 2012,400.65,-11.79,775,51.6968%
Borderless Gaming,664.64,46.64,819,81.1526%
Mass Effect,350.2,22.22,763,45.8978%
The Elder Scrolls III: Morrowind,483.16,-75.69,839,57.5876%
SimCity 4 Deluxe,525.13,35.33,937,56.0438%
Dungeon Defenders II,450.21,-49.66,772,58.3174%
F1 2012,74.66,-17.32,179,41.7095%
Farming Simulator 2013,30.61,-5.66,65,47.0923%
Football Manager 2014,546.25,-18.92,967,56.4891%
F1 2014,52.21,-16.43,114,45.7982%
Construction-Simulator 2015,122.57,-10.74,316,38.788%
Car Mechanic Simulator 2015,126.01,26.72,457,27.5733%
F1 2015,39.73,-6.06,124,32.0403%
Pro Evolution Soccer 2016,54.39,-2.11,117,46.4872%
F1 2016,39.99,-11.41,89,44.9326%
Pro Evolution Soccer 2017,113.74,-7.48,234,48.6068%
F1 2017,89.63,-23.63,199,45.0402%
F1 2018,320.38,-108.42,646,49.5944%
Farm Manager 2018,168.73,-15.93,382,44.1702%
Deus Ex: Mankind Divided,430.44,-188.8,837,51.4265%
SYNTHETIK,419.91,-100.42,805,52.1627%
Lost Castle,335.75,-2.69,982,34.1904%
Digimon Story Cyber Sleuth: Complete Edition,551.89,-128.74,1108,49.8096%
CosmicBreak Universal,255.01,-545.84,881,28.9455%
Sven Co-op,431.37,-26.86,713,60.5007%
Marvel Puzzle Quest,408.7,-11.54,687,59.4905%
Torchlight II,434.05,-113.42,689,62.9971%
Sleeping Dogs: Definitive Edition,407.56,-52.93,761,53.5558%
Wolfenstein II: The New Colossus,443.42,-155.82,955,46.4314%
OCTOPATH TRAVELER,380.13,-455.12,687,55.3319%
S.T.A.L.K.E.R.: Shadow of Chernobyl,379.6,-57.57,838,45.2983%
Call of Duty: Modern Warfare 2,418.25,-7.55,774,54.0375%
Getting Over It with Bennett Foddy,379.91,-118.35,554,68.5758%
DC Universe Online,518.11,-16.02,856,60.5269%
NBA 2K18,266.47,-16.08,552,48.2736%
Danganronpa: Trigger Happy Havoc,652.34,-243.24,1265,51.5684%
Outlast,484.27,81.28,1295,37.3954%
Curious Expedition 2,267.15,56.27,843,31.6904%
The Elder Scrolls: Legends,316.7,6.75,493,64.2394%
Kingdoms Reborn,404.05,97.71,914,44.2068%
DEAD OR ALIVE Xtreme Venus Vacation [JP],303.69,-5.71,977,31.0839%
Hacknet,406.59,-23.35,490,82.9776%
Farming Simulator 15,167.04,-34.26,344,48.5581%
Plants vs. Zombies: Battle for Neighborville,419.9,62.99,1263,33.2462%
