gamename,avg,gain,peak,avg_peak_perc
Desperados III,379.49,-137.95,969,39.1631%
Terraria,37535.76,3490.46,55078,68.1502%
Left 4 Dead 2,16659.87,-2925.3,23915,69.6628%
The Witcher 3: Wild Hunt,17799.54,-2902.9,38603,46.1092%
Life is Strange,473.67,-65.18,1007,47.0377%
Z1 Battle Royale,189.05,-12.81,372,50.8199%
Don't Starve Together,19482.79,-1324.11,40203,48.461%
Counter-Strike: Source,4109.28,-348.88,7489,54.8709%
Monster Hunter: World,23905.37,-6889.87,42501,56.2466%
Cities: Skylines,17733.22,-600.33,30126,58.8635%
Fallout: New Vegas,5818.78,-887.6,10597,54.9097%
No Man's Sky,7005.63,365.67,15126,46.3152%
Space Engineers,7778.97,212.53,16196,48.0302%
Saints Row IV,329.45,-102.12,736,44.7622%
Age of Empires II (2013),5611.43,-299.83,10661,52.6351%
Killing Floor,314.94,-29.15,587,53.6525%
Portal,452.23,-173.09,786,57.5356%
Chivalry: Medieval Warfare,178.74,-4.05,393,45.4809%
Castle Crashers,833.58,-76.6,2396,34.7905%
Rise of the Tomb Raider,1446.63,-305.21,3276,44.1584%
No More Room in Hell,640.46,85.07,956,66.9937%
BattleBlock Theater,421.45,38.07,1641,25.6825%
Goat Simulator,119.92,-16.27,265,45.2528%
Hotline Miami,144.8,-56.78,342,42.3392%
Saints Row: The Third,434.05,-115.97,955,45.4503%
Divinity: Original Sin 2,9345.17,-890.69,17390,53.7388%
Dirty Bomb,187.3,8.59,318,58.8994%
The Binding of Isaac,372.29,-17.2,557,66.8384%
To the Moon,57.13,-9.72,176,32.4602%
Dishonored,571.66,-36.82,1039,55.0202%
Battlerite,349.95,-13.96,663,52.7828%
Ring of Elysium,1311.68,-34.89,2534,51.7632%
NieR:Automata,1328.35,-819.21,2170,61.2143%
POSTAL 2,264.86,-0.59,512,51.7305%
South Park: The Stick of Truth,241.3,-68.13,593,40.6914%
PAYDAY: The Heist,37.23,2.22,85,43.8%
Just Cause 2,183.63,-36.03,336,54.6518%
Firewatch,69.04,-51.01,150,46.0267%
Spec Ops: The Line,128.01,50.27,372,34.4113%
Brothers - A Tale of Two Sons,28.52,-3.99,76,37.5263%
The Stanley Parable,73.1,-10.2,173,42.2543%
Mafia II (Classic),249.15,-39.65,552,45.1359%
Everlasting Summer,332.76,-51.04,646,51.5108%
Broforce,278.26,-9.78,678,41.0413%
LIMBO,96.94,5.33,273,35.5092%
DARK SOULS II,259.4,-75.81,447,58.0313%
"Star Wars: Battlefront 2 (Classic, 2005)",383.01,-126.43,846,45.273%
Metro 2033 Redux,385.83,-80.12,928,41.5765%
Bastion,64.29,-19.74,142,45.2746%
Half-Life,610.33,-178.63,1028,59.3706%
Game Dev Tycoon,211.24,-12.65,403,52.4169%
Rising Storm/Red Orchestra 2 Multiplayer,333.82,-10.09,611,54.635%
Grand Theft Auto: San Andreas,1284.7,-123.71,2323,55.3035%
Wolfenstein: The New Order,352.39,-93.72,774,45.5284%
Slay the Spire,7475.97,-628.48,10380,72.0228%
Elite Dangerous,8338.18,-398.06,14301,58.3049%
Batman: Arkham City GOTY,557.95,68.09,1275,43.7608%
Emily is Away,12.51,-1.41,31,40.3548%
Besiege,469.93,0.16,746,62.9933%
Call of Duty: Black Ops II,165.38,-1.96,327,50.5749%
"Papers, Please",405.44,-6.02,585,69.306%
American Truck Simulator,6245.72,-33.21,11882,52.5646%
Resident Evil 2,1492.34,-64.83,2704,55.1901%
Alien: Isolation,252.13,-29.15,471,53.5308%
Slime Rancher,1497.59,-276.85,2977,50.3053%
Fistful of Frags,164.76,10.71,277,59.4801%
Metro: Last Light Redux,379.07,-159.39,755,50.2079%
Hitman: Absolution,295.65,-7.75,628,47.078%
Battlefield: Bad Company 2,222.68,5.49,431,51.6659%
Alan Wake,107.14,-11.54,221,48.4796%
Risk of Rain,96.47,-29.86,201,47.995%
Depth,136.23,-5.48,280,48.6536%
Transistor,46.99,-18.44,113,41.5841%
ORION: Prelude,11.3,-4.71,33,34.2424%
Verdun,139.55,-15.27,302,46.2086%
Hotline Miami 2: Wrong Number,244.46,-11,547,44.691%
Life is Strange: Before the Storm,138.88,-27.4,311,44.6559%
Max Payne 3,199.49,-58.65,457,43.6521%
Sekiro: Shadows Die Twice,5386.72,801.15,9956,54.1053%
Mortal Kombat X,333.73,-67.09,719,46.4159%
Mirror,1251.5,439.98,3878,32.2718%
The Wolf Among Us,71.03,-2.22,190,37.3842%
Cry of Fear,384.22,150.12,1096,35.0566%
Totally Accurate Battlegrounds,339.52,-88.38,833,40.7587%
Magicka,91.95,-17.13,282,32.6064%
Watch_Dogs 2,885.42,207.58,2397,36.9387%
SpeedRunners,333.89,-96.62,830,40.2277%
Awesomenauts,210.11,-11.59,384,54.7161%
Batman: Arkham Origins,430.44,58.05,1006,42.7873%
Batman: Arkham Asylum GOTY Edition,442.83,122.59,1521,29.1144%
Hellblade: Senua's Sacrifice,123.95,-21.8,355,34.9155%
Amnesia: The Dark Descent,70.7,-11.84,154,45.9091%
APB Reloaded,356.66,15.32,653,54.6187%
Super Hexagon,24.1,-0.36,43,56.0465%
INSIDE,158.71,24.67,608,26.1036%
Call of Duty: World at War,816.76,31.51,1536,53.1745%
The Plan,5.01,0.35,11,45.5455%
Creativerse,323.06,-10.06,567,56.9771%
Shadow Warrior,40.32,-8,84,48%
A Story About My Uncle,37.01,-15.84,139,26.6259%
Risk of Rain 2,5151.47,-1969.41,8037,64.0969%
Mirror's Edge,131.32,30.26,264,49.7424%
Prey,418.42,-81.22,837,49.9904%
HuniePop,670.08,355.04,1498,44.7316%
Fallout 3 - Game of the Year Edition,230.47,-14.79,426,54.1009%
Arma 2: Operation Arrowhead,393.57,-44.56,839,46.9094%
Devil May Cry 5,1366.61,-545.64,2675,51.0882%
DiRT Rally,323.37,-31.65,766,42.2154%
Alien Swarm,35.59,-11.75,75,47.4533%
Miscreated,290.84,-85.6,504,57.7063%
The Talos Principle,160.95,-49.25,370,43.5%
Spintires®,182.64,-105.22,376,48.5745%
ICEY,27.2,4.84,126,21.5873%
Blood and Bacon,39.23,-21.23,97,40.4433%
Duck Game,530.54,8.13,1262,42.0396%
Magic Duels,84.77,-2.15,123,68.9187%
SOMA,72.26,-16.1,179,40.3687%
Trine 2,89.79,-48.45,241,37.2573%
NEKOPARA Vol. 1,147.25,0.66,422,34.8934%
BLOCKADE 3D,16.33,-1.02,61,26.7705%
Five Nights at Freddy's,90.68,6.85,174,52.1149%
Spiral Knights,208.95,-10.58,353,59.1926%
Valiant Hearts: The Great War / Soldats Inconnus : Mémoires de la Grande Guerre,31.76,-0.61,114,27.8596%
ABZU,19.17,-0.38,55,34.8545%
Stranded Deep,542.77,-205.06,993,54.6596%
Serious Sam 3: BFE,110.05,-27.68,324,33.966%
Hurtworld,475.97,-138.19,935,50.9059%
TEKKEN 7,3725.38,-207,6539,56.9717%
Assetto Corsa,4535.05,-94.33,8944,50.7049%
Scrap Mechanic,2640.96,-631.47,5073,52.0591%
Watch_Dogs,215.8,27.37,519,41.58%
The Expendabros,44.92,1.65,77,58.3377%
Dust: An Elysian Tail,21.23,-1.89,51,41.6275%
Ryse: Son of Rome,131.93,39.67,453,29.1236%
Hero Siege,418.57,36.95,1000,41.857%
Call of Duty: Ghosts,64.09,1.78,173,37.0462%
Assassin's Creed II,513.33,-13.76,1282,40.0413%
SUPERHOT,77.56,-33.41,249,31.1486%
DmC Devil May Cry,78.14,-13.02,170,45.9647%
Layers of Fear,74.53,1.21,167,44.6287%
Day of Infamy,121.21,-4.58,237,51.1435%
Tales from the Borderlands,31.46,18.99,130,24.2%
Skullgirls 2nd Encore,232.6,64.01,683,34.0556%
Call of Duty: Black Ops,470.45,45.68,1096,42.9243%
One Finger Death Punch,17.99,-0.36,34,52.9118%
Crypt of the NecroDancer,154.37,19.41,243,63.5267%
L.A. Noire,180.47,-40.14,381,47.3675%
A Hat in Time,286.29,-88.37,540,53.0167%
Warhammer: End Times - Vermintide,70.91,-20.73,209,33.9282%
Half-Life 2: Episode Two,177.69,-50.98,332,53.5211%
Iron Snout,36.26,3.59,64,56.6562%
Rogue Legacy,75.98,-14.25,137,55.4599%
Age of Empires® III (2007),1197.21,-72.9,2263,52.9037%
Infestation: The New Z,461.26,-90.47,810,56.9457%
METAL GEAR RISING: REVENGEANCE,158.88,-6.3,348,45.6552%
Gang Beasts,382.97,-59.51,883,43.3715%
Call of Duty: Advanced Warfare,61.04,8.74,150,40.6933%
Town of Salem,678.97,-110.5,1071,63.3959%
Orcs Must Die! 2,159.81,-26.76,378,42.2778%
Tabletop Simulator,7745.37,-792.89,20653,37.5024%
HELLDIVERS,268.7,-4.14,854,31.4637%
Deus Ex: Human Revolution - Director's Cut,304.15,-141.84,600,50.6917%
How to Survive,21.43,-7.3,45,47.6222%
Guns of Icarus Online,15.63,0.32,103,15.1748%
Dragon's Dogma: Dark Arisen,666.96,-157.74,1041,64.0692%
Brütal Legend,37.36,0.71,81,46.1235%
The Beginner's Guide,7.34,-2.54,29,25.3103%
Sniper Elite 3,268.08,-39.13,624,42.9615%
DRAGON BALL XENOVERSE,46.5,-16.16,119,39.0756%
VA-11 Hall-A: Cyberpunk Bartender Action,117.45,-58.58,207,56.7391%
Just Cause 2: Multiplayer Mod,32.34,-7.91,101,32.0198%
Antichamber,20.89,-9.66,46,45.413%
Dino D-Day,4.69,-3.6,23,20.3913%
Counter-Strike: Condition Zero,475.88,-23.48,832,57.1971%
The Darkness II,68.38,31.04,243,28.1399%
GRID 2,202.1,-23.67,503,40.1789%
Sakura Clicker,104.95,-5.49,146,71.8836%
Refunct,8.21,1.03,24,34.2083%
Gone Home,6.13,-2.88,20,30.65%
NEKOPARA Vol. 0,43.42,2.16,130,33.4%
FINAL FANTASY VII,363.12,-111.16,618,58.7573%
Sanctum 2,40.27,-7.4,161,25.0124%
The Escapists,57.07,-23.12,107,53.3364%
STAR WARS: Knights of the Old Republic,562.8,-257.78,1051,53.549%
Pillars of Eternity,704.54,-88.36,1421,49.5806%
Codename CURE,39.38,2.91,79,49.8481%
ShellShock Live,668.09,-14.49,1264,52.8552%
Need for Speed: Hot Pursuit,96.94,-4.71,188,51.5638%
Surgeon Simulator,22.97,-3.65,63,36.4603%
Tricolour Lovestory,182.44,67.19,395,46.1873%
World of Guns: Gun Disassembly,141.5,-8.72,201,70.398%
Toribash,148.25,37.49,503,29.4732%
Empyrion - Galactic Survival,2226,-521.76,3887,57.2678%
Hyper Light Drifter,37.26,-4.67,90,41.4%
OneShot,61.53,-7.7,139,44.2662%
Mountain,88.05,-8.23,122,72.1721%
Chinese Parents,346.52,20.29,662,52.3444%
Block N Load,29.36,-6.78,87,33.7471%
Portal Knights,292.61,-19.48,730,40.0836%
Shadow of the Tomb Raider,1358.74,-340.87,3057,44.4468%
Outlast 2,365.06,103.41,1094,33.3693%
Call of Duty: WWII,305.29,71.77,843,36.2147%
My Time At Portia,1600.82,-383.09,2652,60.3627%
Dungeon Defenders,305.92,-146.89,624,49.0256%
Mass Effect 2,324.14,13.38,616,52.6201%
FEZ,25.93,-2.84,55,47.1455%
100% Orange Juice,278.67,-25.23,645,43.2047%
The Evil Within,240.41,8.75,494,48.666%
What Remains of Edith Finch,45.63,-8.49,168,27.1607%
Day of Defeat: Source,455.38,-32.37,979,46.5148%
Thief,169.9,1.56,418,40.6459%
Bad Rats,28.92,8.64,189,15.3016%
Gunpoint,7.6,-4.04,21,36.1905%
Quantum Break,89.71,-17.72,233,38.5021%
Quake Live,303.18,-15.41,579,52.3627%
The Room,119.03,35.65,492,24.1931%
S.T.A.L.K.E.R.: Call of Pripyat,309,-44.9,609,50.7389%
Shadow Warrior 2,129.96,-49.19,423,30.7234%
Eternal Senia,5.77,0.56,17,33.9412%
Montaro,9.24,-1.6,53,17.434%
Tom Clancy's Splinter Cell Blacklist,121.07,-27.18,293,41.3208%
Endless Legend,443.72,-174.4,824,53.8495%
Survarium,252.25,-1.81,500,50.45%
Child of Light,22.04,-2.35,53,41.5849%
Beholder,87.69,-18.08,252,34.7976%
Artifact,33.86,-3.31,77,43.974%
Fallout 3,46,-7.37,81,56.7901%
Bendy and the Ink Machine,76.65,-24.98,194,39.5103%
Yet Another Zombie Defense,11.81,-2.32,74,15.9595%
Moonbase Alpha,8.84,-0.44,29,30.4828%
"Warhammer 40,000: Space Marine",115.25,-12.15,267,43.1648%
Grand Theft Auto: Vice City,449.44,34.27,914,49.1729%
Hand Simulator,215.24,-84.63,485,44.3794%
Who's Your Daddy?!,82.09,-20.16,206,39.8495%
The Banner Saga,232.35,155.37,1033,22.4927%
Burnout Paradise: The Ultimate Box,40.04,-0.31,82,48.8293%
Nuclear Throne,173.96,-19.42,261,66.6513%
Business Tour - Online Multiplayer Board Game,1201.63,-43.68,2894,41.5214%
Kingdom: Classic,102.11,-25.09,176,58.017%
Darwin Project,53.63,1.49,152,35.2829%
Sid Meier's Civilization: Beyond Earth,489.88,-3.32,870,56.308%
DRAGON BALL XENOVERSE 2,779.74,-183.43,1472,52.9715%
Shadow Tactics: Blades of the Shogun,647.66,195.37,4985,12.9922%
The Crew,35.86,2.2,86,41.6977%
Mitos.is: The Game,57.06,-6.24,112,50.9464%
Aliens vs. Predator,87.6,6.93,219,40%
Trine,52.55,-43.92,168,31.2798%
Saints Row 2,104.31,-5.9,197,52.9492%
RAGE,97.07,20.35,283,34.3004%
Car Mechanic Simulator 2018,1719.52,-82.63,3114,55.219%
Blackwake,92.82,-458.94,275,33.7527%
Pony Island,10.2,-2.07,35,29.1429%
Shovel Knight: Treasure Trove,95.26,-19.97,180,52.9222%
Far Cry® 3 Blood Dragon,25.54,-14.48,61,41.8689%
Gotham City Impostors: Free To Play,24.99,2.01,52,48.0577%
Double Action: Boogaloo,12.65,-3.47,38,33.2895%
Defiance,35.22,-4.57,67,52.5672%
Hyperdimension Neptunia Re;Birth1,47.02,-7.32,77,61.0649%
Dead Space,211.53,-26.47,397,53.2821%
Contagion,35.51,-7.48,84,42.2738%
Remember Me,19.93,-5.98,49,40.6735%
Resident Evil Revelations 2,196.35,-22.14,371,52.9245%
Spooky's Jump Scare Mansion,34.73,-4.4,82,42.3537%
LEGO® Worlds,142.19,-19.52,365,38.9562%
WARMODE,29.01,-2.37,68,42.6618%
Deadlight,4.38,-0.03,13,33.6923%
Dungeons 3,188.58,-57.63,428,44.0607%
Dead Space 2,113.42,-63.5,248,45.7339%
The Evil Within 2,285.93,13.04,685,41.7416%
Bayonetta,149.81,-9.3,330,45.397%
Valkyria Chronicles,75.82,3.83,149,50.8859%
RWBY: Grimm Eclipse,10.12,-2.22,31,32.6452%
Dragon Age: Origins - Ultimate Edition,801.06,74.47,1805,44.3801%
LEGO® MARVEL Super Heroes,250.22,-29.37,537,46.5959%
Injustice: Gods Among Us Ultimate Edition,86.82,3.29,230,37.7478%
Tropico 4,159.71,-23.59,293,54.5085%
Call of Duty 4: Modern Warfare,405.01,-21.33,858,47.204%
Shadowrun Returns,43.33,-10.45,95,45.6105%
NEKOPARA Vol. 2,46.46,-0.27,124,37.4677%
Sonic Mania,133.6,-23.01,289,46.2284%
MURDERED: SOUL SUSPECT,23.76,-5.84,67,35.4627%
Star Conflict,267.07,22.29,461,57.9328%
Move or Die,111.85,-18.54,862,12.9756%
Project CARS,160.88,-31.28,313,51.3994%
Detention,17.96,-2.79,44,40.8182%
We Were Here,202.23,37.52,621,32.5652%
World War 3,12.83,-0.25,41,31.2927%
Kingdoms of Amalur: Reckoning,80.89,-3.85,161,50.2422%
Bully: Scholarship Edition,137.88,-33.9,319,43.2226%
Zombie Army Trilogy,141.63,-14.69,380,37.2711%
Far Cry Primal,335.15,-188.03,689,48.643%
Natural Selection 2,169.75,-31.24,363,46.7631%
BRAIN / OUT,155.45,3.85,361,43.0609%
Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,11.89,0.12,29,41%
TrackMania Nations Forever,433.38,88.74,853,50.8066%
Ultra Street Fighter IV,172.97,-8.76,279,61.9964%
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst,82.71,4.73,179,46.2067%
Psychonauts,47.24,-13.44,98,48.2041%
The Awesome Adventures of Captain Spirit,24.38,-4.93,53,46%
Reign Of Kings,46.24,-13.99,156,29.641%
Hand of Fate,26.42,4.03,57,46.3509%
Five Nights at Freddy's 2,33.82,0.31,72,46.9722%
METAL GEAR SOLID V: GROUND ZEROES,81.25,-10.08,187,43.4492%
Transmissions: Element 120,4.73,-0.58,18,26.2778%
Half-Life 2: Episode One,136.72,-38.86,246,55.5772%
Tropico 5,243.79,-36.41,485,50.266%
Freddy Fazbear's Pizzeria Simulator,123.38,-1.01,246,50.1545%
Call of Duty: Infinite Warfare,146.05,32.33,279,52.3477%
Ultimate Custom Night,408.53,24.76,777,52.5779%
NEKOPARA Vol. 3,59.6,4.95,156,38.2051%
AirMech Strike,44.7,13.12,278,16.0791%
Alien Swarm: Reactive Drop,293.83,-25.86,686,42.8324%
Defy Gravity,3.76,0.22,92,4.087%
Mini Metro,115.23,1.41,246,46.8415%
Thomas Was Alone,5.3,0.29,17,31.1765%
LISA,49.1,-19.86,86,57.093%
Tales of Berseria,289.08,-62.52,542,53.3358%
Dungeon of the Endless,122.99,-102.3,297,41.4108%
Lords Of The Fallen,80.05,-36.47,170,47.0882%
ELEX,260,-82.34,627,41.4673%
The Room Two,94.7,26.83,299,31.6722%
S.K.I.L.L. - Special Force 2,2.48,0.65,7,35.4286%
Dead Rising 3,126.51,-6.73,263,48.1027%
Celeste,921.42,-145.97,1645,56.0134%
Monaco,17.3,-5.07,57,30.3509%
SNOW,17.18,-0.48,38,45.2105%
DEEP SPACE WAIFU,5.39,-3.25,17,31.7059%
Deponia,42.1,-32.98,118,35.678%
Armello,255.36,-11.11,573,44.5654%
Assassin's Creed Syndicate,522.92,-22.77,1187,44.0539%
Salt and Sanctuary,176.12,-40.49,391,45.0435%
Orwell,45.67,-9.43,120,38.0583%
FINAL FANTASY XIII,272.94,-51.29,443,61.6117%
Fallout,149.76,-9.77,263,56.943%
Craft The World,592.41,147.79,1394,42.4971%
Material Girl,34.75,1.57,108,32.1759%
Sonic Generations,127.27,-7.41,258,49.3295%
The Vanishing of Ethan Carter,3.2,-2.24,14,22.8571%
RIFT,268.87,22.4,429,62.6737%
GunZ 2: The Second Duel,6.47,-0.33,23,28.1304%
LYNE,12.08,-2.95,25,48.32%
DISTRAINT: Deluxe Edition,24,-7.37,117,20.5128%
"Warhammer 40,000: Dawn of War III",153.43,0.62,362,42.384%
Carpe Diem,0.99,0.3,5,19.8%
Sniper Ghost Warrior 2,109.23,4.65,301,36.289%
Night in the Woods,76.7,-18.41,193,39.7409%
Viscera Cleanup Detail,259.32,-72.49,490,52.9224%
Octodad: Dadliest Catch,25.23,-1.8,78,32.3462%
Crysis 2 Maximum Edition,107.26,-15.5,248,43.25%
VVVVVV,11.5,-0.99,25,46%
Assassin's Creed Brotherhood,292.18,-2.77,516,56.624%
The Bureau: XCOM Declassified,24.41,2.93,57,42.8246%
Scribblenauts Unlimited,58.2,-12.87,141,41.2766%
Overcooked,187.16,-11.2,538,34.7881%
Wolfenstein: The Old Blood,137.89,-26,276,49.9601%
Finding Paradise,21.93,-4.63,65,33.7385%
The Witness,193.61,-21.33,457,42.3654%
Oxenfree,60.42,39.41,172,35.1279%
Braid,20.36,-1.9,61,33.377%
STAR WARS Empire at War: Gold Pack,2040.81,-608.7,3418,59.7077%
Rabi-Ribi,154.77,49.57,402,38.5%
Youtubers Life,122.69,-69.33,331,37.0665%
Tribes: Ascend,8.16,-0.81,45,18.1333%
America's Army: Proving Grounds,288.35,0.14,655,44.0229%
Little Inferno,22.35,-5.92,58,38.5345%
Homefront: The Revolution,59.97,-9.6,136,44.0956%
Absolver,75.47,14.23,150,50.3133%
STAR WARS Republic Commando,74.54,-16.6,164,45.4512%
Gear Up,4.13,-1.03,18,22.9444%
Kingdoms and Castles,356.52,-58.16,840,42.4429%
F.E.A.R.,46.63,-8.43,99,47.101%
Five Nights at Freddy's 4,15.22,0.11,41,37.122%
Mount Your Friends,10.93,-3.17,54,20.2407%
FINAL FANTASY X/X-2 HD Remaster,625.27,-61.84,999,62.5896%
Osiris: New Dawn,65.28,7.5,187,34.9091%
Resident Evil,237.91,1.27,437,54.4416%
Deus Ex: Game of the Year Edition,76.78,-23.91,157,48.9045%
Mount & Blade: With Fire and Sword,244.17,1.61,489,49.9325%
Wasteland 2,18.64,-8.36,42,44.381%
CrossCode,242.9,127.52,1990,12.206%
CPUCores :: Maximize Your FPS,551.47,-26.88,982,56.1578%
Dragon Age: Origins,187.37,-49.93,368,50.9158%
Vampire: The Masquerade - Bloodlines,102.44,-2.84,230,44.5391%
Tyranny,192.37,35.74,459,41.9107%
Crysis,43.13,-59.23,105,41.0762%
Foxhole,557.78,82.98,3258,17.1203%
Punch Club,52.51,-5.27,119,44.1261%
Galactic Civilizations III,386.55,-16.58,648,59.6528%
Minecraft: Story Mode - A Telltale Games Series,11.94,2.16,26,45.9231%
Half-Life 2: Deathmatch,173.36,-20.36,356,48.6966%
PAC-MAN Championship Edition DX+,7.6,-1.87,19,40%
SoulWorker,251,-162.83,675,37.1852%
Super Crate Box,3.62,0.4,12,30.1667%
Darksiders II Deathinitive Edition,137.49,-31.02,262,52.4771%
Universe Sandbox,310.14,13.26,513,60.4561%
Assassin's Creed Revelations,158.31,-7.03,308,51.3994%
Sakura Spirit,5.26,-0.09,10,52.6%
Momodora: Reverie Under the Moonlight,17.32,-3.75,43,40.2791%
Unepic,27.47,-12.35,67,41%
Hitman: Blood Money,109.06,5.67,209,52.1818%
Door Kickers,99.86,14.85,234,42.6752%
How to Survive 2,47.39,-12.18,110,43.0818%
Zup!,6,1.06,22,27.2727%
Call to Arms,322.95,-33.09,1225,26.3633%
Half-Life 2: Lost Coast,19.98,-0.61,43,46.4651%
Loading Screen Simulator,15.07,-1.48,27,55.8148%
FreeStyle 2: Street Basketball,457.91,-31.1,934,49.0268%
Lucius,19.26,-10.12,45,42.8%
GRIS,118.26,-15.2,346,34.1792%
Keep Talking and Nobody Explodes,141.64,-41.56,433,32.7113%
Assassin's Creed,120.2,-20.88,313,38.4026%
Batman - The Telltale Series,39.97,-1.36,99,40.3737%
STEINS;GATE,100.28,-11.85,216,46.4259%
Relic Hunters Zero: Remix,46.65,33.53,158,29.5253%
Endless Space® - Definitive Edition,105.92,-14.85,208,50.9231%
The Swapper,5.59,0.19,19,29.4211%
STAR WARS Jedi Knight: Jedi Academy,164.11,-63.58,306,53.6307%
Aura Kingdom,232.37,-22.47,350,66.3914%
Long Live The Queen,14.44,0.78,38,38%
Sword Art Online: Fatal Bullet,228.2,-32.63,553,41.2658%
Anno 2070,119.66,-21.92,283,42.2827%
Archeblade,2.56,0,13,19.6923%
"Warhammer 40,000: Dawn of War II",207.59,-1.93,420,49.4262%
S.T.A.L.K.E.R.: Clear Sky,220.16,-31.55,460,47.8609%
60 Seconds!,36.25,2.95,65,55.7692%
Viridi,25.58,-0.06,44,58.1364%
Homefront,16.01,-2.23,50,32.02%
Magicite,23.23,-2.59,55,42.2364%
Streets of Rogue,312.01,-125.06,718,43.4554%
Nidhogg,13.61,-0.63,41,33.1951%
Hatred,25.69,-6.08,57,45.0702%
"Warhammer 40,000: Eternal Crusade",26.66,-12.92,107,24.9159%
FlatOut 2,96.15,-25.86,242,39.7314%
Machinarium,48.54,3.87,129,37.6279%
DLC Quest,1.62,0.01,5,32.4%
PROTOTYPE 2,79.5,3.55,207,38.4058%
Homeworld Remastered Collection,182.56,-25.58,348,52.4598%
Planetary Annihilation: TITANS,300.38,-179.48,664,45.238%
Orcs Must Die!,27.22,0.32,63,43.2063%
Blockstorm,3.36,-2.17,17,19.7647%
Overcooked! 2,1829.22,-91.74,6832,26.7743%
Serious Sam 2,54.46,-16.4,203,26.8276%
F.E.A.R. 3,37.73,-3.75,93,40.5699%
Lucy -The Eternity She Wished For-,5.94,-1.02,24,24.75%
Supreme Commander 2,270.5,-30.76,505,53.5644%
Sunless Sea,83.96,-3.41,180,46.6444%
Jotun: Valhalla Edition,10.5,-1.24,26,40.3846%
FINAL FANTASY VIII,126.46,-6.74,221,57.2217%
This Is the Police,59.79,-14.63,128,46.7109%
Broken Age,13.73,-2.27,33,41.6061%
Book of Demons,27.21,-12.34,54,50.3889%
Riders of Icarus,321.41,-14.47,542,59.3007%
Tales of Zestiria,78.25,-20.74,153,51.1438%
Far Cry 2,100.9,-30.59,210,48.0476%
RUINER,14.89,-5.19,40,37.225%
Tower Unite,409.16,-48.12,784,52.1888%
Zombie Panic! Source,44.44,-3.62,93,47.7849%
Race The Sun,9.3,0.82,24,38.75%
RUNNING WITH RIFLES,147.42,-15.58,349,42.2407%
The Way of Life Free Edition,1.23,-0.39,4,30.75%
Half-Life: Opposing Force,105.72,-22.56,178,59.3933%
Darksiders Warmastered Edition,107.09,-27.33,224,47.808%
Into the Breach,258.7,-50.46,487,53.1211%
Superflight,27.21,-1.95,49,55.5306%
Stonehearth,271.29,-90.77,538,50.4257%
Hatoful Boyfriend,14.24,1.5,89,16%
METAL SLUG 3,22.62,1.33,58,39%
Unheard,111.47,10.52,365,30.5397%
Bit Blaster XL,6.84,2.8,40,17.1%
Saints Row: Gat out of Hell,23.35,-5.83,60,38.9167%
Lethal League,8.4,-1.02,34,24.7059%
Never Alone (Kisima Ingitchuna),9.72,-0.62,34,28.5882%
MapleStory 2,2.32,-1.14,6,38.6667%
Timberman,8.3,-2.36,219,3.79%
Cave Story+,14.88,-5.06,40,37.2%
Kingdom Rush,163.8,30.01,339,48.3186%
Rebel Galaxy,43.06,-15.43,86,50.0698%
Hammerwatch,23.12,-4.93,82,28.1951%
The Escapists 2,501.32,-321.21,1683,29.7873%
